industry,total_companies
Hotel,117
Brewery,97
Sake,87
Restaurant,81
Confectionery,72
Wine,44
Pharmacy,35
Clothing,16
Bank,14
Construction,14
Paper,13
Retailing,12
Foods,12
Tea,12
Cloth,9
Religious goods,8
Mint,7
Distillery,7
Pharmaceutical,7
Chemicals,7
Farm,7
Miso,7
Soy sauce,7
Metalwork,6
Foundry,6
Publisher,6
Pub,6
Bakery,5
Mill,5
Salt,5
Incense,5
Lacquerware,5
Sauce,4
Stationery,4
Jewelry,4
Pottery,4
Newspaper,4
Dolls,4
Real estate,4
Ceramics,3
Conglomerate,3
Glass,3
Textiles,3
Firearms,3
Brushes,3
Building material,3
Fish,3
Food,3
Metal,3
Oil,3
Stonemasonry,3
Stonework,3
Tatami,3
Vinegar,3
Linen,2
Printing,2
Supermarket,2
Transport,2
Scissors,2
Bookstore,2
Insurance,2
Shipping,2
Castella,2
Cosmetics,2
Fans,2
Fertilizer,2
Fuel,2
Herbs,2
Hospital,2
Metalware,2
Metalworking,2
Retail,2
Seafood,2
Slate,2
Tools,2
Trade,2
Wholesale,2
Woodwork,2
Rope,2
Auctions,2
Cheese,2
Aluminium,1
Bells,1
Blacksmith,1
Inn,1
Mouth harps,1
Woodworking,1
Post,1
Pickle,1
Blades,1
"Originally mining, currently paper",1
Champagne,1
Cognac,1
Jeweler,1
Optics,1
Sealing wax and ink,1
Theatre,1
Tissues & Wallpapers,1
Trading,1
"Wax, candles",1
,1
Appliances,1
Baths,1
Chocolate,1
Industry,1
Nickel,1
Nursery,1
Restaurant/Hotel,1
Shoes,1
Toyshop,1
metalworking factory,1
Candles,1
Boat building,1
Church,1
Papermaking,1
Perfume,1
Wool fabrics,1
Wrought iron,1
Agricultural,1
Antique,1
Architecture,1
Bag,1
Beds,1
Catering equipment,1
Ceremonial paper goods,1
Chinese medicine,1
Confectionary,1
Dried goods,1
Drums,1
Eyeglasses,1
Farming material,1
Fashion,1
Fireworks,1
Fishing flies,1
Fishing tackle,1
Funerary items,1
Furnaces,1
Gunpowder,1
Hanpen,1
Herbal medicine,1
Housewares,1
Ink,1
Inkstone,1
Iron,1
Iron works,1
Ironware,1
Karasumi,1
Kiln,1
Kitchen knife,1
Knives,1
Leather,1
Machinery,1
Medical supplies,1
Mining,1
Noodles,1
Office supplies,1
Paint,1
Paper lantern,1
Paper lanterns,1
Pawnbroker,1
"Pharmaceutical, Sake",1
"Pharmacy, paper goods, incense",1
Pickles,1
Pillow,1
Pottery retail,1
Prayer beads,1
Property,1
Retailer,1
Safe,1
Scales,1
Sea weed,1
Seal,1
Seed,1
Shichimi,1
Soba noodles,1
Spice,1
Stamps,1
Stone,1
Stone mill,1
Strings,1
Sōmen noodles,1
Taiko drum,1
Textile,1
Tofu,1
Uchiwa,1
Udon noodles,1
Umbrellas,1
Utensil,1
Wedding hall,1
Yōkan,1
Fabric,1
Fuel storage,1
Oil Paints,1
Porcelain,1
Soap,1
Jewellery,1
National Postal Service,1
Sheep farming,1
Brass and silver accessories,1
Defense,1
Iron processing,1
Bell,1
Clock,1
Health care products,1
Holding,1
Vineyard,1
Watches,1
Wine bar,1
Turkish bath,1
Almanac,1
Beltmaker,1
Butcher,1
Chandler,1
Clocks,1
Currency,1
Ferry,1
Harbour,1
Hats,1
Lighthouse,1
Publishing,1
Tiles,1
Watermill,1
Cymbals,1
Silversmith,1
