country,company,founded_year
Japan,Nishiyama Onsen Keiunkan,705
Austria,St. Peter Stiftskulinarium,803
Germany,Staffelter Hof,862
France,Monnaie de Paris,864
United Kingdom,The Royal Mint,886
Italy,Pontificia Fonderia Marinelli,1000
Denmark,Munke Mølle,1135
China,Ma Yu Ching,1153
Spain,Casa de Ganaderos [es],1218
Switzerland,Gasthof Sternen,1230
Poland,Bochnia,1248
Ukraine,Drohobych,1250
Finland,Stora Enso,1288
Slovakia,Kremnica Mint,1328
Netherlands,Brand,1340
Sweden,Skyllbergs bruk,1346
Czech Republic,Pivovar Broumov,1348
Belgium,Stella Artois,1366
"Germany, Schwarzenberg (Ore Mountains)",Erla Ironworks,1380
Estonia,Raeapteek,1422
Ireland,Rathbornes Candles,1488
Portugal,"CTT Correios de Portugal, S.A.",1520
Mexico,La Casa de Moneda de México,1534
Peru,Casa de Moneda de Lima [es],1565
Turkey,Çemberlitaş Hamamı,1584
Latvia,Cēsu Alus,1590
United States,Shirley Plantation,1613
Colombia,Casa de Moneda de Colombia,1621
Norway,Orkla,1654
Brazil,Correios,1663
Lithuania,Gubernija,1665
Canada,Hudson's Bay Company,1670
